iter	RMSE
0	0.9714604302
1	0.9483718079
2	0.9293543161
3	0.9141390741
4	0.9015286936
5	0.8899604641
6	0.8813884687
7	0.8731250599
8	0.8669670576
9	0.8588405479
10	0.8540627038
11	0.8467194839
12	0.842025416
13	0.8385718921
14	0.8348013956
15	0.8316742031
16	0.8291259591
17	0.8269732435
18	0.8229412531
19	0.8190294337
20	0.8161952608
21	0.812132518
22	0.8105300684
23	0.8072311137
24	0.8058118967
25	0.8026710392
26	0.7995241503
27	0.7958614408
28	0.7944799044
29	0.7921976107
30	0.7896737137
31	0.7885322006
32	0.7861827454
33	0.7851211806
34	0.7829108211
35	0.7800500879
36	0.7790387565
37	0.7769377642
38	0.7752494723
39	0.7723696518
40	0.7712366237
41	0.7690138645
42	0.7668870603
43	0.7634027626
44	0.7622701273
45	0.7602340563
46	0.7575921696
47	0.7558793185
48	0.7540991026
49	0.7522475169
50	0.7510998972
51	0.7504812883
52	0.748452414
53	0.7475749022
54	0.7464930319
55	0.7446463446
56	0.7424966663
57	0.7416550537
58	0.740998951
59	0.7404859081
60	0.7388999834
61	0.7373299966
62	0.7359951063
63	0.7349025664
64	0.7338570053
65	0.7328010205
66	0.7322091087
67	0.7306968792
68	0.7302202768
69	0.7276051846
70	0.7264010789
71	0.7245675706
72	0.7237699671
73	0.7228478486
74	0.7202255866
75	0.7182725318
76	0.7171151597
77	0.716003745
78	0.7148190239
79	0.7137597314
80	0.7124850951
81	0.7119437267
82	0.7108579861
83	0.7082927033
84	0.7060044443
85	0.703543192
86	0.7031823551
87	0.7011411782
88	0.7000806444
89	0.6989414514
90	0.6966991077
91	0.6961051542
92	0.6957544893
93	0.6947687329
94	0.6936936561
95	0.6925078509
96	0.6911151954
97	0.6903537645
98	0.6881824304
99	0.6874173179
100	0.686735956
101	0.6833772037
102	0.6829473314
103	0.6826090205
104	0.6819720902
105	0.6799948618
106	0.6779318883
107	0.6769286511
108	0.6764548696
109	0.6744129386
110	0.6724111078
111	0.6720440646
112	0.6703824902
113	0.6691453238
114	0.6680673279
115	0.6663245606
116	0.6639989775
117	0.6626265893
118	0.6619877892
119	0.6607205955
120	0.6597613698
121	0.6593631559
122	0.658271903
123	0.6573466902
124	0.6556372752
125	0.6539946689
126	0.6536703972
127	0.6528052656
128	0.6517926601
129	0.6504362651
130	0.6495500983
131	0.6486812101
132	0.6480642237
133	0.6459231745
134	0.6455937187
135	0.6441531615
136	0.6425049008
137	0.6421883206
138	0.6418168606
139	0.6403838673
140	0.6390353123
141	0.6378159113
142	0.6369848531
143	0.6359724908
144	0.6346599634
145	0.634104145
146	0.6338664482
147	0.6335715349
148	0.6324041704
149	0.6311926918
150	0.6308268878
151	0.6298529653
152	0.629151022
153	0.6280315374
154	0.6272392933
155	0.6267794178
156	0.6252250306
157	0.6242925278
158	0.622909425
159	0.6222864185
160	0.6213822789
161	0.6201882461
162	0.6195081113
163	0.6185136487
164	0.618303944
165	0.618016205
166	0.6175291751
167	0.6171165152
168	0.6162120432
169	0.6155921309
170	0.6147384661
171	0.6137557037
172	0.6131316562
173	0.6125341493
174	0.6108282809
175	0.6097800094
176	0.6093437564
177	0.6084080532
178	0.6070704749
179	0.6061998915
180	0.6053948783
181	0.6051988036
182	0.604222243
183	0.6038365005
184	0.6029163646
185	0.6019936742
186	0.6012547739
187	0.6000251453
188	0.5990752799
189	0.5988482761
190	0.5986399523
191	0.5973023906
192	0.5958482037
193	0.5948390235
194	0.5945378718
195	0.5938797611
196	0.5933222949
197	0.5927139402
198	0.5916564505
199	0.5912330945
200	0.5902974105
201	0.5897152508
202	0.5887480578
203	0.5875408955
204	0.5867800974
205	0.5861445253
206	0.5858841468
207	0.5850309153
208	0.5839483355
209	0.5822005799
210	0.5813576996
211	0.5808862137
212	0.5802015585
213	0.5799247921
214	0.5793247989
215	0.5790138063
216	0.5785402983
217	0.5781648991
218	0.5772765395
219	0.5769841623
220	0.5767575965
221	0.5764259842
222	0.575617126
223	0.5752612968
224	0.5749598806
225	0.5740706506
226	0.5736145759
227	0.5715996925
228	0.5711798081
229	0.5708228113
230	0.5703959647
231	0.5701568138
232	0.5699400316
233	0.5691199376
234	0.5685731156
235	0.5677518244
236	0.5672789789
237	0.5669219901
238	0.5655988465
239	0.5653684633
240	0.564782764
241	0.5639292515
242	0.5637447672
243	0.5635554362
244	0.5629285309
245	0.5623195171
246	0.5617855772
247	0.5614034773
248	0.5610412417
249	0.5605066371
250	0.5601010234
251	0.5594350189
252	0.5592514328
253	0.5579003897
254	0.5571319025
255	0.5559990024
256	0.5553396945
257	0.5542969228
258	0.5536083599
259	0.5534296492
260	0.5532000859
261	0.5522726774
262	0.5521224553
263	0.5517410038
264	0.5508639977
265	0.5500683867
266	0.5492909226
267	0.5487888964
268	0.547298857
269	0.5468852112
270	0.5466646461
271	0.545912233
272	0.5455635123
273	0.5453872104
274	0.5450145636
275	0.5443732071
276	0.5437968552
277	0.5430082077
278	0.5421187113
279	0.5418311315
280	0.5411468503
281	0.5407287135
282	0.539978153
283	0.5391161535
284	0.5389454109
285	0.538220465
286	0.5378543717
287	0.5372424
288	0.5370762926
289	0.5368457331
290	0.536285151
291	0.5355429056
292	0.535057368
293	0.5337900445
294	0.5329457222
295	0.5323161558
296	0.5319222592
297	0.531571321
298	0.5307885388
299	0.5302245307
300	0.5296013629
301	0.5292472827
302	0.5287665827
303	0.5282941188
304	0.5275278346
305	0.5269267628
306	0.5261984847
307	0.5258241879
308	0.5255140386
309	0.5247710022
310	0.5244868104
311	0.5237239445
312	0.5232545337
313	0.5226041625
314	0.5224279333
315	0.5220938975
316	0.5216259269
317	0.5209544313
318	0.5207584805
319	0.5203695305
320	0.5198898978
321	0.5193356143
322	0.5184013821
323	0.5178202931
324	0.5161957708
325	0.5155772411
326	0.5154347391
327	0.5150115277
328	0.5136343947
329	0.5131004213
330	0.5127440136
331	0.5123607353
332	0.512119222
333	0.5118969833
334	0.5116275989
335	0.5114789669
336	0.5111063087
337	0.5104664863
338	0.5103051612
339	0.5099097992
340	0.5094916804
341	0.5093115251
342	0.5084791187
343	0.5077255615
344	0.5072539642
345	0.5064000654
346	0.5061808404
347	0.5057366947
348	0.5052628128
349	0.505110402
350	0.5042287347
351	0.5036709177
352	0.503056759
353	0.5029221497
354	0.5025602165
355	0.5024268716
356	0.5021982165
357	0.501492891
358	0.5012851296
359	0.5006388508
360	0.5001634301
361	0.4994974768
362	0.4989060058
363	0.4985863804
364	0.4981822389
365	0.497700663
366	0.4970472871
367	0.4965429407
368	0.4959875921
369	0.4957154298
370	0.4952079785
371	0.494690829
372	0.493656428
373	0.4934101184
374	0.4929839879
375	0.492594483
376	0.492282587
377	0.4916918548
378	0.4913995346
379	0.4910425141
380	0.4905589912
381	0.4902776588
382	0.4897483113
383	0.4887075185
384	0.4884555454
385	0.4882588368
386	0.487708874
387	0.4868925066
388	0.4862493198
389	0.4860494054
390	0.4856728405
391	0.4844458239
392	0.4840423334
393	0.4837656317
394	0.4833953958
395	0.4832001854
396	0.4828445789
397	0.4824570717
398	0.4819403634
399	0.4815534279
400	0.4812599036
401	0.4805685805
402	0.4794164206
403	0.4790302379
404	0.4783756435
405	0.4778732239
406	0.4776380511
407	0.4770590345
408	0.47664882
409	0.4762039744
410	0.4756026996
411	0.4754229229
412	0.4751672899
413	0.4748842893
414	0.4745446732
415	0.4743931423
416	0.4742596912
417	0.4739882392
418	0.4736820225
419	0.4735075778
420	0.4733459011
421	0.473232296
422	0.4730837394
423	0.4728868903
424	0.4727404462
425	0.4723714977
426	0.4722634674
427	0.472125987
428	0.4719467206
429	0.47151492
430	0.4711332007
431	0.470708597
432	0.4703220277
433	0.4699281015
434	0.4696537151
435	0.4692774483
436	0.4690376027
437	0.4687846156
438	0.4682755722
439	0.4680931605
440	0.4676292073
441	0.4674967004
442	0.4671861087
443	0.4670238722
444	0.4667383748
445	0.4664015979
446	0.4659624561
447	0.4654543227
448	0.4649125078
449	0.4646877211
450	0.4644269701
451	0.4642859893
452	0.4641225638
453	0.4637456428
454	0.4634684075
455	0.4632997726
456	0.4631036734
457	0.4627834125
458	0.4624459508
459	0.4616923496
460	0.4613213305
461	0.4610354118
462	0.4608104967
463	0.4606479339
464	0.46040666
465	0.4598956865
466	0.4597420694
467	0.4594427665
468	0.4592252276
469	0.4590374523
470	0.4588866384
471	0.4583974749
472	0.4580591015
473	0.4574959891
474	0.4573752983
475	0.4567987368
476	0.4563426453
477	0.456177227
478	0.4559653719
479	0.455820037
480	0.4555032147
481	0.4553316645
482	0.4550554307
483	0.4548824934
484	0.4544085837
485	0.4542657601
486	0.4540883088
487	0.4539959376
488	0.4538805841
489	0.4537118025
490	0.4535803167
491	0.4534953342
492	0.4533729997
493	0.4532132242
494	0.4527723548
495	0.452427376
496	0.4522389694
497	0.4519705161
498	0.4517164272
499	0.4516162595
500	0.4514967769
501	0.4511411997
502	0.4508751735
503	0.4504505944
504	0.4499722076
505	0.4496296286
506	0.4495068904
507	0.4492053555
508	0.4488640619
509	0.4484983183
510	0.4483287878
511	0.4479232848
512	0.4477762256
513	0.4475700214
514	0.447333335
515	0.446892944
516	0.4467608324
517	0.4466191151
518	0.4460531872
519	0.445725932
520	0.4451544682
521	0.4447715932
522	0.4444634955
523	0.4442043911
524	0.4440199727
525	0.4439069963
526	0.4436406433
527	0.4433808024
528	0.4428722091
529	0.4427354192
530	0.442558742
531	0.4424813938
532	0.4423661574
533	0.4420933308
534	0.4418608625
535	0.4415326352
536	0.4410851422
537	0.440802281
538	0.4405072267
539	0.4402757409
540	0.4396919375
541	0.4393637635
542	0.4391458406
543	0.4389845817
544	0.4385947522
545	0.4384773138
546	0.4381186533
547	0.4380103311
548	0.4378738949
549	0.4376690009
550	0.4372661941
551	0.4367564349
552	0.4366350012
553	0.4364289546
554	0.4362854855
555	0.4361648927
556	0.4360855303
557	0.435976057
558	0.4357659848
559	0.435488298
560	0.4353073441
561	0.435053249
562	0.4349024961
563	0.434670904
564	0.4345578818
565	0.4341569984
566	0.4340672734
567	0.4337898975
568	0.4335940979
569	0.4334406049
570	0.433300895
571	0.4331192759
572	0.4330201582
573	0.4325948822
574	0.4324864337
575	0.4322681285
576	0.4320595641
577	0.431959135
578	0.4317650446
579	0.4314700857
580	0.4312135674
581	0.4311306057
582	0.4309920004
583	0.4308910081
584	0.430823418
585	0.430639828
586	0.4305417701
587	0.4301957689
588	0.4300354578
589	0.4298771324
590	0.4295954989
591	0.4295240696
592	0.4293301119
593	0.4292004614
594	0.429114367
595	0.4290165513
596	0.4287194529
597	0.4284313228
598	0.427866118
599	0.4275956663
600	0.4274333185
601	0.4270920039
602	0.4269458193
603	0.4266476304
604	0.4265243955
605	0.4264377444
606	0.4260737897
607	0.4258848542
608	0.4255196582
609	0.4252881357
610	0.4249436023
611	0.4246730597
612	0.4241128452
613	0.4238600243
614	0.4237474255
615	0.4236141632
616	0.4235545335
617	0.4233788757
618	0.4230737266
619	0.4230042667
620	0.4227433522
621	0.4224851461
622	0.4223091237
623	0.4221240104
624	0.4217632291
625	0.4216190202
626	0.4213723965
627	0.4211075726
628	0.4209025701
629	0.4207312604
630	0.4205452756
631	0.4203814967
632	0.4202878474
633	0.4199776992
634	0.4197504544
635	0.4195124308
636	0.419397177
637	0.4192381067
638	0.4190238238
639	0.4189011162
640	0.4185877583
641	0.4184670089
642	0.4183470562
643	0.4181616335
644	0.4179792953
645	0.4178804282
646	0.4176618623
647	0.4175796196
648	0.4174655315
649	0.4173272089
650	0.4169380976
651	0.4166443571
652	0.4164169003
653	0.4161485563
654	0.4159446256
655	0.4158720484
656	0.4154213793
657	0.4150658624
658	0.4149383838
659	0.414703952
660	0.4145343338
661	0.4141816877
662	0.4139052915
663	0.4138461131
664	0.4136503514
665	0.4134667707
666	0.4132429689
667	0.4131524334
668	0.412754799
669	0.4126297952
670	0.4125499066
671	0.4122221833
672	0.4120587089
673	0.4117859995
674	0.4115329225
675	0.4113324038
676	0.4112413074
677	0.4110661268
678	0.4108861842
679	0.4107797707
680	0.4105995389
681	0.4104470387
682	0.4103456737
683	0.4102460003
684	0.4099982724
685	0.4098794946
686	0.4098196355
687	0.4095143404
688	0.4093715432
689	0.409239929
690	0.4089272601
