iter	Passed	Remaining
0	209	209324
1	268	133796
2	323	107570
3	380	94765
4	442	88153
5	502	83300
6	554	78589
7	611	75798
8	665	73304
9	733	72593
10	787	70758
11	855	70466
12	926	70327
13	987	69575
14	1053	69171
15	1125	69238
16	1189	68774
17	1252	68330
18	1323	68343
19	1399	68596
20	1471	68583
21	1533	68180
22	1583	67259
23	1646	66940
24	1698	66237
25	1756	65812
26	1814	65372
27	1879	65248
28	1927	64533
29	1987	64253
30	2044	63921
31	2100	63536
32	2160	63323
33	2211	62819
34	2270	62600
35	2327	62316
36	2379	61943
37	2433	61616
38	2489	61352
39	2548	61169
40	2601	60848
41	2662	60740
42	2718	60494
43	2779	60384
44	2831	60084
45	2892	59979
46	2953	59887
47	3015	59814
48	3069	59577
49	3128	59444
50	3186	59285
51	3233	58957
52	3293	58850
53	3343	58579
54	3397	58369
55	3456	58272
56	3522	58272
57	3579	58132
58	3630	57906
59	3683	57715
60	3747	57687
61	3809	57632
62	3869	57557
63	3928	57448
64	3993	57439
65	4046	57266
66	4095	57031
67	4155	56949
68	4211	56824
69	4274	56787
70	4335	56724
71	4394	56643
72	4455	56576
73	4511	56453
74	4575	56429
75	4640	56417
76	4698	56315
77	4758	56245
78	4815	56139
79	4875	56070
80	4936	56011
81	4987	55834
82	5039	55682
83	5101	55633
84	5167	55628
85	5226	55551
86	5276	55376
87	5341	55355
88	5401	55292
89	5459	55200
90	5522	55163
91	5584	55120
92	5633	54944
93	5682	54771
94	5740	54686
95	5795	54577
96	5863	54588
97	5928	54561
98	5988	54500
99	6043	54394
100	6098	54282
101	6158	54215
102	6213	54113
103	6263	53965
104	6318	53857
105	6384	53845
106	6448	53814
107	6522	53873
108	6580	53792
109	6642	53744
110	6704	53696
111	6765	53639
112	6824	53571
113	6886	53524
114	6945	53451
115	7011	53430
116	7068	53346
117	7129	53293
118	7188	53220
119	7255	53208
120	7315	53141
121	7378	53097
122	7438	53038
123	7498	52972
124	7558	52911
125	7619	52852
126	7672	52741
127	7732	52675
128	7790	52602
129	7851	52546
130	7909	52466
131	7971	52415
132	8034	52378
133	8112	52426
134	8168	52338
135	8243	52372
136	8306	52324
137	8361	52229
138	8421	52161
139	8484	52120
140	8549	52087
141	8632	52161
142	8706	52180
143	8772	52147
144	8831	52074
145	8885	51975
146	8942	51890
147	8997	51798
148	9064	51772
149	9126	51714
150	9181	51622
151	9246	51584
152	9306	51518
153	9366	51454
154	9425	51384
155	9480	51289
156	9537	51211
157	9599	51158
158	9671	51157
159	9734	51104
160	9790	51019
161	9851	50958
162	9916	50922
163	9981	50881
164	10035	50783
165	10087	50680
166	10147	50615
